County,FIPS,Population
"Autauga County, Alabama",01001,55601
"Baldwin County, Alabama",01003,218022
"Barbour County, Alabama",01005,24881
"Bibb County, Alabama",01007,22400
"Blount County, Alabama",01009,57840
"Bullock County, Alabama",01011,10138
"Butler County, Alabama",01013,19680
"Calhoun County, Alabama",01015,114277
"Chambers County, Alabama",01017,33615
"Cherokee County, Alabama",01019,26032
"Chilton County, Alabama",01021,44153
"Choctaw County, Alabama",01023,12841
"Clarke County, Alabama",01025,23920
"Clay County, Alabama",01027,13275
"Cleburne County, Alabama",01029,14987
"Coffee County, Alabama",01031,51909
"Colbert County, Alabama",01033,54762
"Conecuh County, Alabama",01035,12277
"Coosa County, Alabama",01037,10715
"Covington County, Alabama",01039,36986
"Crenshaw County, Alabama",01041,13824
"Cullman County, Alabama",01043,83442
"Dale County, Alabama",01045,48956
"Dallas County, Alabama",01047,38310
"DeKalb County, Alabama",01049,71385
"Elmore County, Alabama",01051,81887
"Escambia County, Alabama",01053,36748
"Etowah County, Alabama",01055,102501
"Fayette County, Alabama",01057,16433
"Franklin County, Alabama",01059,31363
"Geneva County, Alabama",01061,26314
"Greene County, Alabama",01063,8233
"Hale County, Alabama",01065,14726
"Henry County, Alabama",01067,17209
"Houston County, Alabama",01069,104722
"Jackson County, Alabama",01071,51736
"Jefferson County, Alabama",01073,659300
"Lamar County, Alabama",01075,13844
"Lauderdale County, Alabama",01077,92387
"Lawrence County, Alabama",01079,32957
"Lee County, Alabama",01081,163941
"Limestone County, Alabama",01083,96174
"Lowndes County, Alabama",01085,9974
"Macon County, Alabama",01087,18439
"Madison County, Alabama",01089,366519
"Marengo County, Alabama",01091,19066
"Marion County, Alabama",01093,29763
"Marshall County, Alabama",01095,96109
"Mobile County, Alabama",01097,413757
"Monroe County, Alabama",01099,21067
"Montgomery County, Alabama",01101,225763
"Morgan County, Alabama",01103,119089
"Perry County, Alabama",01105,9140
"Pickens County, Alabama",01107,19938
"Pike County, Alabama",01109,33338
"Randolph County, Alabama",01111,22725
"Russell County, Alabama",01113,57781
"St. Clair County, Alabama",01115,88690
"Shelby County, Alabama",01117,215707
"Sumter County, Alabama",01119,12691
"Talladega County, Alabama",01121,79828
"Tallapoosa County, Alabama",01123,40497
"Tuscaloosa County, Alabama",01125,208911
"Walker County, Alabama",01127,63711
"Washington County, Alabama",01129,16378
"Wilcox County, Alabama",01131,10627
"Winston County, Alabama",01133,23660
"Aleutians East Borough, Alaska",02013,3515
"Aleutians West Census Area, Alaska",02016,5723
"Anchorage Municipality, Alaska",02020,291538
"Bethel Census Area, Alaska",02050,18216
"Bristol Bay Borough, Alaska",02060,877
"Denali Borough, Alaska",02068,2059
"Dillingham Census Area, Alaska",02070,5000
"Fairbanks North Star Borough, Alaska",02090,98971
"Haines Borough, Alaska",02100,2474
"Hoonah-Angoon Census Area, Alaska",02105,2151
"Juneau City and Borough, Alaska",02110,32113
"Kenai Peninsula Borough, Alaska",02122,58533
"Ketchikan Gateway Borough, Alaska",02130,13918
"Kodiak Island Borough, Alaska",02150,13345
"Kusilvak Census Area, Alaska",02158,8303
"Lake and Peninsula Borough, Alaska",02164,1587
"Matanuska-Susitna Borough, Alaska",02170,107610
"Nome Census Area, Alaska",02180,10008
"North Slope Borough, Alaska",02185,9872
"Northwest Arctic Borough, Alaska",02188,7671
"Petersburg Borough, Alaska",02195,3221
"Prince of Wales-Hyder Census Area, Alaska",02198,6422
"Sitka City and Borough, Alaska",02220,8647
"Skagway Municipality, Alaska",02230,1148
"Southeast Fairbanks Census Area, Alaska",02240,6918
